PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Bauters, Marijn; Ampoorter, Evy; Huygens, Dries; Kearsley, Elizabeth; De Haulleville, Thales; Sellan, Giacomo; Verbeeck, Hans; Boeckx, Pascal; Verheyen, Kris				; Huygens, Dries/A-8395-2008	Bauters, Marijn/0000-0003-0978-6639; Huygens, Dries/0000-0003-2423-6926			Functional identity explains carbon sequestration in a 77-year-old experimental tropical plantation								ECOSPHERE				6	10					198	10.1890/ES15-00342.1				OCT 2015	2015	Planting forests is an important practice for climate change mitigation, especially in the tropics where the carbon (C) sequestration potential is high. Successful implementation of this mitigation practice requires knowledge of the role of species identity and diversity on carbon accrual of plantations. Despite this need, solid data on the long-term development of forest plantations are still very scarce. Monospecific and two species mixture plots of a 77-year-old tree diversity experiment in Yangambi in the Congo basin were fully inventoried. We calculated above-ground C stocks using allometric equations, and soil C stocks by analyzing soil samples at multiple depths. Linear mixed effects models were used to analyze the effect of taxonomic and functional identity and diversity on the aboveground and soil carbon stocks. A high variability in aboveground C stocks across tree species combinations was observed. Apart from a species identity effect, the proportion of planted species in the total stand basal area (BA(pl)) and effective species richness were identified as compositional parameters with a significant effect on the aboveground carbon (AGC), with BApl being more important. Both AGC and BA(pl) were coupled to the functional identity of the planted species; the planting of short-lived pioneers led to low AGC. We found no clear benefits, but also no drawbacks, for AGC of two species mixture plots over monospecific plots or including nitrogen fixing species in the plantation scheme. However, the latter was the only compositional parameter with a significant positive effect on the soil carbon stock up to 1 m depth. We conclude that the different plantation configurations gave rise to a wide range in carbon stocks. This was predominantly caused by large differences in AGC sequestration over the past 77 years. Altogether, short-lived pioneer species had a low BApl resulting in low carbon sequestration, while partial shade tolerant species achieved the highest AGC stocks. Tolerating spontaneous ingrowth during the plantation development can further increase the AGC stock, given that the appropriate functional type is planted.									3	0	0	3	0	3	0	25	2150-8925			WOS:000364024300027		
J	van Zeben, Josephine								Establishing a Governmental Duty of Care for Climate Change Mitigation: Will Urgenda Turn the Tide?								TRANSNATIONAL ENVIRONMENTAL LAW				4	2			339	357		10.1017/S2047102515000199				OCT 2015	2015	Liability for causing or failing to mitigate climate change has long been proposed as an alternative, or backstop, to lagging international cooperation. Thus far, there has been very limited success in holding governments or individuals responsible for the emission of greenhouse gases (GHGs) that are considered the primary cause of anthropogenic climate change. The recent landmark decision in Urgenda Foundation v. Government of the Netherlands (Ministry of Infrastructure and the Environment) breaks with this tradition. In June 2015, the Dutch District Court (The Hague) held that the current climate policies of the government are not sufficiently ambitious for it to fulfil its duty of care towards Dutch society. The judgment, and the accompanying order for the government to adopt stricter GHG reduction policies, raises important questions about the future of climate change liability litigation, the separation of powers between the judiciary and the legislature, and the effect of litigation on international climate change negotiation and cooperation.									22	0	0	0	0	22	2	6	2047-1025	2047-1033		WOS:000363039300005		
J	Cameron, Ross W. F.; Taylor, Jane; Emmett, Martin								A Hedera green facade - Energy performance and saving under different maritime-temperate, winter weather conditions								BUILDING AND ENVIRONMENT				92				111	121		10.1016/j.buildenv.2015.04.011				OCT 2015	2015	Thermal regulation is a key ecosystem service provided by urban plants. In addition to summer cooling, plants can insulate buildings against heat loss in winter. Research was conducted over two winters using replicated small-scale physical models to simulate heat loss from a built structure and to investigate the insulation properties of plants during cold weather. Brick cuboids were constructed around a water tank maintained at 16 degrees C and energy use monitored. Covering cuboids with ivy (Hedera helix) reduced mean energy consumption by 21% compared to bare cuboids during the first winter (means of 4.3 and 5.4 kWh per week, respectively). During the second winter, when foliage was more extensive a 37% mean saving was achieved (3.7 compared to 5.9 kWh per week). The presence of Hedera enhanced brick temperatures significantly compared to bare walls. Temperature differences were affected by weather parameters, aspect, diurnal time and canopy density. Largest savings in energy due to vegetation were associated with more extreme weather, such as cold temperatures, strong wind or rain. Under such scenarios green facades could increase energy efficiency by 40-50% and enhance wall surface temperatures by 3 degrees C. These empirical studies with replicated treatments augment previous research based on urban modelling and data from non-replicated individual buildings in situ. They indicate that planting design requires more attention to ensure the heat saving aspects associated with green facades and shelter belts are optimised. These aspects are discussed within the context of wider urban ecosystem services provided by vegetation, and implications for climate change mitigation. (C) 2015 The Authors. Published by Elsevier Ltd. This is an open access article under the CC BY license (http://creativecommons.org/licenses/by/4.0/).									18	0	0	5	0	18	1	37	0360-1323	1873-684X		WOS:000358807800011		
J	Wennersten, Ronald; Sun, Qie; Li, Hailong				Sun, Qie/N-9520-2013	Sun, Qie/0000-0001-6539-845X			The future potential for Carbon Capture and Storage in climate change mitigation - an overview from perspectives of technology, economy and risk								JOURNAL OF CLEANER PRODUCTION				103				724	736		10.1016/j.jclepro.2014.09.023				SEP 15 2015	2015	According to the recent IPCC reports, the effects from anthropogenic climate change effects are becoming more serious and actions more urgent. The global mean concentration of CO2, the most important Greenhouse Gas (GHG), in the atmosphere is now close to 400 ppm. The most comprehensive research efforts concerning safe levels propose that we should strive to keep the atmospheric concentration of CO2 below 350 ppm. This is also a more transparent global goal than using effects in the components of the climate system. Most scenarios show that the combustion of fossil fuels will increase in the future, while the development of renewables is still too marginal to stop this growth. The possibility that countries will leave fossil resources underground does not seem realistic. The only options in the short run to halt emissions of CO2 are the large-scale application of Carbon Capture and Storage (CCS) in combination with increased energy efficiency. In the long run, we have to radically transform our societal metabolism towards greater resource efficiency, where renewables can play a more important role. The main barriers for implementation of CCS on a large scale are not technical, but economic and social. As long as the costs for emitting CO2 are much lower than implementing CCS technology, there will not be a market-driven development of CCS. A major challenge for CCS will be to achieve wide public acceptance, since this will also affect the future political attitude to it. This will require an open communication about safety aspects early in the planning phase, where it can be shown that safety issues can be handled, even in the event of major leaks of CO2. To assume a low probability of accidents is not a feasible way forward in the communication process. The future concerning CO2 emissions will be determined very much by actions of the biggest emitters. The developed countries have already emitted a large amount of CO2 and must now take a step forward to show that they are willing to invest in CCS technology. At this stage, it is reasonable to expect developed countries to take a leading role in developing the CCS technology on a large-scale. It is highly probable that developing countries like China will follow this path in the near future, since they have a clear ambition to take a lead in climate change mitigation in the long run and to avoid blame for a deteriorating environment. (C) 2014 Elsevier Ltd. All rights reserved.									72	2	0	5	0	73	7	121	0959-6526	1879-1786		WOS:000356990800070		
J	Bataille, Chris; Melton, Noel; Jaccard, Mark								Policy uncertainty and diffusion of carbon capture and storage in an optimal region								CLIMATE POLICY				15	5			565	582		10.1080/14693062.2014.953905				SEP 3 2015	2015	Carbon capture and storage (CCS) has the potential to dramatically reduce GHG emissions in energy supply and industry. However, its high costs mean that uncertainty about the stringency of future climate policy may dissuade firms from investing in this technology. This article explores the relationship between firms expectations of government policy and investment in CCS. First, it synthesizes recent cost estimates for CCS applications in electricity generation and oil sands extraction in Canada. Second, it uses these estimates to investigate the potential impact of policy stringency and uncertainty on CCS adoption in Alberta, a Canadian province with near-ideal CCS potential. The results suggest investment in CCS, and by extension other costly abatement actions, will not occur unless governments create a more stringent and durable climate policy environment than currently exists.Policy relevanceThis paper has two novel and linked objectives, the first of significant utility to researchers and energy modellers in particular, the second to climate policy analysts and decision makers. First, it synthesizes publicly available carbon capture and storage literature and develops cost estimates for key applications related to thermal electricity generation and oil sands extraction in Canada. Second, it uses these cost estimates to investigate the potential impact of policy stringency and uncertainty on carbon capture and storage adoption in Alberta, Canada. Alberta is a test case for CCS due to its fossil resources and high CO2 storage potential, and the technology's success or failure in this jurisdiction should be of interest to policy makers elsewhere.									1	0	0	0	0	1	1	23	1469-3062	1752-7457		WOS:000359350700002		
J	Komendantova, Nadejda; Vocciante, Marco; Battaglini, Antonella				Vocciante, Marco/U-9156-2019	Vocciante, Marco/0000-0002-6824-4488			Can the BestGrid Process Improve Stakeholder Involvement in Electricity Transmission Projects?								ENERGIES				8	9			9407	9433		10.3390/en8099407				SEP 2015	2015	The European Union has set ambitious targets for deployment of renewable energy sources to reach goals of climate change mitigation and energy security policies. However, the current state of electricity transmission infrastructure is a major bottleneck for further scaling up of renewable energy in the EU. Several thousands of kilometers of new lines have to be constructed and upgraded to accommodate growing volumes of intermittent renewable electricity. In many countries, construction of electricity transmission projects has been delayed for several years due to concerns of local stakeholders. The innovative BESTGRID approach, reported here, brings together transmission system operators (TSOs) and non-governmental organizations (NGOs) to discuss and understand the nature of stakeholder concerns. This paper has three objectives: (1) to understand stakeholder concerns about the deployment of electricity transmission grids in four pilot projects according to five guiding principles: need, transparency, engagement, environment, and impacts on human health as well as benefits; (2) to understand how these principles can be addressed to provide a basis for better decision-making outcomes; and (3) to evaluate the BESTGRID process based on feedback received from stakeholders and the level of participation achieved according to the ladder of Arnstein. This paper goes beyond a discussion of measures to mitigate opposition to understand how dialogue between TSOs and the publicrepresented mainly by NGOs and policy-makersmight lead to a better decision-making process and more sustainable electricity transmission infrastructure deployment.									10	0	0	1	0	10	0	7	1996-1073			WOS:000362553000021		
J	Bernardes, Luis; Carneiro, Julio; Madureira, Pedro; Brandao, Filipe; Roque, Cristina				Roque, Cristina/A-8146-2013; Carneiro, Julio F/B-6348-2016	Roque, Cristina/0000-0002-2583-594X; Carneiro, Julio F/0000-0002-4900-3355; Madureira, Pedro Miguel/0000-0003-4762-6273			Determination of Priority Study Areas for Coupling CO2 Storage and CH4 Gas Hydrates Recovery in the Portuguese Offshore Area								ENERGIES				8	9			10276	10292		10.3390/en80910276				SEP 2015	2015	Gas hydrates in sub-seabed sediments is an unexploited source of energy with estimated reserves larger than those of conventional oil. One of the methods for recovering methane from gas hydrates involves injection of Carbon Dioxide (CO2), causing the dissociation of methane and storing CO2. The occurrence of gas hydrates offshore Portugal is well known associated to mud volcanoes in the Gulf of Cadiz. This article presents a determination of the areas with conditions for the formation of biogenic gas hydrates in Portugal's mainland geological continental margin and assesses their overlap with CO2 hydrates stability zones defined in previous studies. The gas hydrates stability areas are defined using a transfer function recently published by other authors and takes into account the sedimentation rate, the particulate organic carbon content and the thickness of the gas hydrate stability zone. An equilibrium equation for gas hydrates, function of temperature and pressure, was adjusted using non-linear regression and the maximum stability zone thickness was found to be 798 m. The gas hydrates inventory was conducted in a Geographic Information System (GIS) environment and a full compaction scenario was adopted, with localized vertical flow assumed in the accrecionary wedge where mud volcanoes occur. Four areas where temperature and pressure conditions may exist for formation of gas hydrates were defined at an average of 60 km from Portugal's mainland coastline. Two of those areas coincide with CO2 hydrates stability areas previously defined and should be the subject of further research to evaluate the occurrence of gas hydrate and the possibility of its recovery coupled with CO2 storage in sub-seabed sediments.									2	0	0	0	0	2	3	13		1996-1073		WOS:000362553000065		
J	Lute, Michelle L.; Attari, Shahzeen Z.; Sherman, Steven J.								Don't rush to flush								JOURNAL OF ENVIRONMENTAL PSYCHOLOGY				43				105	111		10.1016/j.jenvp.2015.06.003				SEP 2015	2015	Encouraging sustainable water use is a critical endeavor in addressing issues associated with short- and long-term droughts. Toilets account for up to 26.7% of indoor household water use. Therefore substantial opportunity exists to conserve water via reduced flushing after urination at home. Here, we use an online survey (N = 1008) to identify barriers to reduced flushing. The majority of participants reported they always flush (63%) and believed that others should always flush. Social norms surrounding cleanliness are the most prevalent reasons for flushing. Results suggest four main barriers to reducing flushing: disgust sensitivity, habitual nature of flushing, norms regarding cleanliness, and lack of pro-environmental motivations. Participants who always flush are less likely to sacrifice for the environment than occasional flushers. Participants tended to underestimate average American water use and their own water use. Targeted interventions to decrease urine-related disgust and increase pro-environmental motivations may help achieve water conservation goals. (C) 2015 Elsevier Ltd. All rights reserved.									8	0	0	1	0	8	0	20	0272-4944			WOS:000361933400010		
J	Basic, Aleksandra Murks; Kamal, Salahuddin M.; Almazroui, Mansour; Al-Marzouki, Fahad M.				Kamal, Salah M./E-5722-2013	Kamal, Salah M./0000-0003-3862-6239			A mathematical model for the climate change: Can unpredictability offset the temptations to pollute?								APPLIED MATHEMATICS AND COMPUTATION				265				187	195		10.1016/j.amc.2015.05.005				AUG 15 2015	2015	The climate change is an example of the biggest social dilemma in the human history. Climate change mitigation can be successful only if the whole world will undertake an internationally coordinated collective action. Costs to reduce emissions of greenhouse gases can be easily calculated for each individual, but benefits of the successful reduction will be distributed among all the "players", independently from theft actual contributions to sustainable development. Evolutionary games provide a suitable theoretical framework for studying the challenges of climate change, and we will build on this fact in the present paper to study the evolution of cooperation and discuss its implications for offsetting the temptations to pollute. It has namely become painfully clear that tackling the climate change will be costly, and accordingly, the temptations to pollute will always be present. Can the element of unpredictability that is inherently present in social interactions and the environment increase the probability of adopting the cleaner strategy? We employ the spatial prisoner's dilemma game where the cooperative behaviour is challenged by defection that promises individuals a higher fitness and is thus more likely to prevail. Obtained results are contrasted with real data and indicators of climate change. (C) 2015 Elsevier Inc. All rights reserved.									3	0	0	0	0	3	3	18	0096-3003	1873-5649		WOS:000358787100015		
J	Pega, Frank; Shaw, Caroline; Rasanathan, Kumanan; Yablonski, Jennifer; Kawachi, Ichiro; Hales, Simon					Shaw, Caroline/0000-0001-5083-4765			Climate change, cash transfers and health								BULLETIN OF THE WORLD HEALTH ORGANIZATION				93	8			559	565		10.2471/BLT.14.150037				AUG 2015	2015	The forecast consequences of climate change on human health are profound, especially in low- and middle-income countries and among the most disadvantaged populations. Innovative policy tools are needed to address the adverse health effects of climate change. Cash transfers are established policy tools for protecting population health before, during and after climate-related disasters. For example, the Ethiopian Productive Safety Net Programme provides cash transfers to reduce food insecurity resulting from droughts. We propose extending cash transfer interventions to more proactive measures to improve health in the context of climate change. We identify promising cash transfer schemes that could be used to prevent the adverse health consequences of climatic hazards. Cash transfers for using emission-free, active modes of transport e.g. cash for cycling to work could prevent future adverse health consequences by contributing to climate change mitigation and, at the same time, improving current population health. Another example is cash transfers provided to communities that decide to move to areas in which their lives and health are not threatened by climatic disasters. More research on such interventions is needed to ensure that they are effective, ethical, equitable and cost effective.									5	0	0	2	0	5	1	18	0042-9686	1564-0604		WOS:000359966400013	26478613	
